date,5. volume,4. close,2. high,1. open,3. low
2018-05-04,22531325.0,95.16,95.37,93.32,92.92
2018-05-07,24242019.0,96.22,96.71,95.17,95.1
2018-05-08,23484589.0,95.81,96.16,95.8456,95.0631
2018-05-09,27327410.0,96.94,96.97,96.01,95.05
2018-05-10,22388119.0,97.91,97.95,97.46,97.05
2018-05-11,16778316.0,97.7,97.87,97.8,97.04
2018-05-14,19454124.0,98.03,98.69,97.92,97.31
2018-05-15,24594010.0,97.32,97.85,97.24,96.34
2018-05-16,17384742.0,97.15,97.4,97.36,96.615
2018-05-17,17246716.0,96.18,97.5401,96.76,95.83
2018-05-18,17865840.0,96.36,96.93,96.01,96.01
2018-05-21,19422467.0,97.6,98.01,97.0,96.8
2018-05-22,15441189.0,97.5,98.17,97.68,97.2
2018-05-23,21251222.0,98.66,98.73,96.71,96.32
2018-05-24,26649287.0,98.31,98.94,98.725,96.81
2018-05-25,18363918.0,98.36,98.98,98.3,97.86
2018-05-29,28670981.0,98.01,98.88,97.84,97.23
2018-05-30,22158528.0,98.95,99.25,98.31,97.91
2018-05-31,34140891.0,98.84,99.99,99.29,98.61
2018-06-01,28655624.0,100.79,100.86,99.2798,99.17
2018-06-04,27281623.0,101.67,101.86,101.26,100.851
2018-06-05,23514402.0,102.19,102.33,102.0,101.53
2018-06-06,21122917.0,102.49,102.6,102.48,101.9
2018-06-07,28232197.0,100.88,102.69,102.65,100.38
2018-06-08,22165128.0,101.63,101.95,101.0924,100.54
2018-06-11,23490894.0,101.05,101.59,101.37,100.67
2018-06-12,18325228.0,101.31,101.4493,101.1,100.75
2018-06-13,29492875.0,100.85,102.01,101.72,100.56
2018-06-14,25691811.0,101.42,102.03,101.65,101.0
2018-06-15,65738585.0,100.13,101.53,101.51,100.07
2018-06-18,23586037.0,100.86,101.11,100.01,99.42
2018-06-19,28653087.0,100.86,101.0,99.65,99.5
2018-06-20,26180792.0,101.87,102.52,101.37,101.12
2018-06-21,23198188.0,101.14,102.46,102.075,100.88
2018-06-22,38923105.0,100.41,100.77,100.41,99.625
2018-06-25,35433333.0,98.39,100.11,100.0,97.3
2018-06-26,26897244.0,99.08,100.08,98.82,98.75
2018-06-27,31298386.0,97.54,100.02,99.58,97.4
2018-06-28,26650671.0,98.63,99.11,97.38,97.26
2018-06-29,28053214.0,98.61,99.91,98.93,98.33
2018-07-02,19564521.0,100.01,100.06,98.1,98.0
2018-07-03,14670275.0,99.05,100.63,100.48,98.94
2018-07-05,18977402.0,99.76,99.92,99.5,99.0299
2018-07-06,19234627.0,101.16,101.43,99.885,99.67
2018-07-09,18211980.0,101.85,102.25,101.6452,101.251
2018-07-10,19293140.0,102.12,102.51,102.0,101.86
2018-07-11,19644648.0,101.98,102.34,101.15,101.1
2018-07-12,24335929.0,104.19,104.41,102.77,102.73
2018-07-13,24653500.0,105.43,105.6,104.37,104.09
2018-07-16,21786912.0,104.91,105.82,105.4,104.515
2018-07-17,25901726.0,105.95,106.5,104.61,104.32
2018-07-18,29493927.0,105.12,106.05,105.94,104.715
2018-07-19,40171646.0,104.4,105.31,104.93,103.89
2018-07-20,56038827.0,106.27,108.2,108.08,106.08
2018-07-23,29706955.0,107.97,108.14,106.3,106.13
2018-07-24,26316619.0,107.66,108.82,108.57,107.26
2018-07-25,30798058.0,110.83,111.15,107.955,107.6
2018-07-26,31372110.0,109.62,111.0,110.74,109.5
2018-07-27,37005292.0,107.68,110.18,110.18,106.14
2018-07-30,34668327.0,105.37,107.53,107.19,104.76
2018-07-31,27655152.0,106.08,106.72,106.49,105.38
2018-08-01,23628699.0,106.28,106.446,106.03,105.42
2018-08-02,26104258.0,107.57,108.09,105.4,104.84
2018-08-03,18659599.0,108.04,108.05,107.8,106.82
2018-08-06,20265947.0,108.13,108.42,108.12,107.559
2018-08-07,16080214.0,108.88,109.1,108.56,108.17
2018-08-08,15487502.0,109.49,109.75,109.33,108.7599
2018-08-09,13677211.0,109.67,110.16,109.71,109.6
2018-08-10,18183724.0,109.0,109.69,109.42,108.38
2018-08-13,18474884.0,108.21,109.58,109.24,108.1
2018-08-14,16788314.0,109.56,109.75,108.56,108.04
2018-08-15,29982806.0,107.66,108.985,108.49,106.82
2018-08-16,21384289.0,107.64,108.86,108.3,107.3
2018-08-17,18061512.0,107.58,107.9,107.36,106.69
2018-08-20,17914201.0,106.87,107.9,107.51,106.48
2018-08-21,22881861.0,105.98,107.35,106.92,105.85
2018-08-22,18000639.0,107.06,107.34,105.85,105.78
2018-08-23,18167723.0,107.56,108.18,107.15,106.87
2018-08-24,17234020.0,108.4,108.56,107.67,107.56
2018-08-27,19662331.0,109.6,109.64,109.27,108.51
2018-08-28,19151528.0,110.26,110.5,109.94,109.79
2018-08-29,20818044.0,112.02,112.03,110.45,110.27
2018-08-30,22798702.0,111.95,112.61,111.67,111.44
2018-08-31,23222713.0,112.33,112.777,111.685,111.515
2018-09-04,22634641.0,111.71,111.955,110.85,110.22
2018-09-05,32872352.0,108.49,111.42,111.01,108.1
2018-09-06,23477624.0,108.74,108.99,108.25,107.51
2018-09-07,22498646.0,108.21,108.7248,108.23,107.23
2018-09-10,20727906.0,109.38,109.64,108.84,108.36
2018-09-11,24301774.0,111.24,111.59,108.9,108.89
2018-09-12,18891064.0,111.71,111.85,111.43,110.51
2018-09-13,26055620.0,112.91,113.725,112.12,112.12
2018-09-14,19122349.0,113.37,113.73,113.36,112.44
2018-09-17,20736516.0,112.14,113.7,113.69,111.86
2018-09-18,22170934.0,113.21,113.695,112.19,111.72
2018-09-19,21728429.0,111.7,113.32,113.05,111.035
2018-09-20,23714512.0,113.57,113.8,112.28,111.93
2018-09-21,71229698.0,114.26,115.29,114.0,113.51
2018-09-24,27334460.0,114.67,114.9,113.03,112.2175
2018-09-25,20781978.0,114.45,115.1,114.8,113.75
